Latitude (decimal degrees): 12.848
Longitude (decimal degrees): 45.032
Elevation (m): 1.0
Irradiance Time Offset (h): -0.2399
month,year
1,2007
2,2018
3,2011
4,2005
5,2010
6,2013
7,2020
8,2009
9,2010
10,2006
11,2006
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20070101:0000,24.58,44.73,0.0,-0.0,0.0,33.59,3.25,61.0,101650.0
20070101:0100,24.56,51.86,0.0,-0.0,0.0,35.28,3.59,59.0,101690.0
20070101:0200,24.53,59.0,0.0,-0.0,0.0,36.97,3.93,56.0,101690.0
20070101:0300,24.5,66.13,0.0,-0.0,0.0,38.66,4.27,54.0,101720.0
20070101:0400,24.48,73.27,42.0,12.84,41.0,40.35,4.61,58.0,101790.0
20070101:0500,24.45,80.4,44.0,0.0,44.0,42.04,4.95,68.0,101880.0
20070101:0600,24.43,87.54,88.0,0.0,88.0,43.72,5.29,81.0,101940.0
20070101:0700,24.4,94.67,162.0,0.0,162.0,45.41,5.63,90.0,101920.0
20070101:0800,25.19,74.0,162.0,0.0,162.0,10.45,6.21,99.0,101890.0
20070101:0900,25.14,74.0,315.0,6.19,310.0,3.65,6.34,102.0,101780.0
20070101:1000,25.35,76.5,200.0,0.0,200.0,9.65,6.14,110.0,101700.0
20070101:1100,25.41,76.5,401.0,94.11,333.0,-3.65,5.93,112.0,101650.0
20070101:1200,25.48,76.5,231.0,20.18,219.0,3.25,5.86,113.0,101620.0
20070101:1300,25.53,71.65,211.0,133.22,155.0,-4.45,5.72,115.0,101640.0
20070101:1400,25.64,71.65,37.0,4.73,36.0,10.8,5.66,113.0,101650.0
20070101:1500,25.7,71.65,0.0,-0.0,0.0,-1.9,5.52,108.0,101690.0
20070101:1600,25.74,74.1,0.0,-0.0,0.0,2.3,5.59,102.0,101760.0
20070101:1700,25.72,74.1,0.0,-0.0,0.0,3.05,5.52,98.0,101840.0
20070101:1800,25.65,74.1,0.0,-0.0,0.0,-0.95,5.31,93.0,101880.0
20070101:1900,25.47,76.5,0.0,-0.0,0.0,-0.55,5.03,89.0,101870.0
20070101:2000,25.18,76.5,0.0,-0.0,0.0,1.15,4.83,88.0,101850.0
20070101:2100,25.09,76.5,0.0,-0.0,0.0,-0.35,4.55,86.0,101830.0
20070101:2200,24.92,79.05,0.0,-0.0,0.0,2.5,4.14,90.0,101800.0
20070101:2300,24.62,79.05,0.0,-0.0,0.0,-2.7,4.28,82.0,101740.0
20070102:0000,24.55,79.05,0.0,-0.0,0.0,-0.75,4.41,78.0,101680.0
20070102:0100,24.57,79.05,0.0,-0.0,0.0,426.45,4.55,74.0,101670.0
20070102:0200,24.45,81.65,0.0,-0.0,0.0,-11.6,4.76,74.0,101670.0
20070102:0300,24.42,81.65,0.0,-0.0,0.0,3.45,5.17,76.0,101730.0
20070102:0400,24.35,81.65,10.0,0.0,10.0,0.35,5.45,79.0,101810.0
20070102:0500,24.48,81.65,34.0,0.0,34.0,1.35,6.07,83.0,101920.0
20070102:0600,24.57,79.05,96.0,0.0,96.0,3.45,6.76,86.0,101950.0
20070102:0700,24.75,81.7,132.0,0.0,132.0,-11.4,7.38,88.0,101960.0
20070102:0800,24.9,79.05,137.0,0.0,137.0,5.0,7.52,90.0,101880.0
