Latitude (decimal degrees): 15.323
Longitude (decimal degrees): 44.191
Elevation (m): 2283.0
Irradiance Time Offset (h): -0.2303
month,year
1,2011
2,2011
3,2008
4,2006
5,2011
6,2005
7,2007
8,2007
9,2010
10,2013
11,2005
12,2019
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,11.6,63.91,0.0,-0.0,0.0,285.68,1.35,52.0,76410.0
20110101:0100,11.1,62.88,0.0,-0.0,0.0,280.98,1.5,53.0,76390.0
20110101:0200,10.61,61.86,0.0,-0.0,0.0,276.28,1.66,55.0,76410.0
20110101:0300,10.11,60.84,0.0,-0.0,0.0,271.58,1.81,54.0,76460.0
20110101:0400,9.61,59.81,51.0,0.0,51.0,266.88,1.97,53.0,76500.0
20110101:0500,9.12,58.79,318.0,773.42,109.0,262.18,2.12,63.0,76540.0
20110101:0600,8.62,57.77,539.0,867.08,135.0,257.48,2.28,75.0,76570.0
20110101:0700,8.13,56.74,712.0,892.68,156.0,252.78,2.43,96.0,76580.0
20110101:0800,15.94,31.0,826.0,913.36,159.0,280.2,1.66,138.0,76540.0
20110101:0900,17.32,28.8,863.0,897.69,162.0,291.05,1.86,181.0,76440.0
20110101:1000,18.32,25.9,769.0,683.3,242.0,299.95,2.34,201.0,76360.0
20110101:1100,18.89,26.0,632.0,535.59,256.0,300.75,2.48,215.0,76310.0
20110101:1200,19.09,26.15,374.0,190.34,264.0,299.75,2.28,220.0,76280.0
20110101:1300,18.95,26.15,200.0,98.19,160.0,299.4,1.72,233.0,76290.0
20110101:1400,17.74,30.1,46.0,0.0,46.0,297.85,0.9,271.0,76330.0
20110101:1500,15.95,33.5,0.0,-0.0,0.0,293.95,1.38,0.0,76420.0
20110101:1600,14.49,31.8,0.0,-0.0,0.0,288.75,2.28,46.0,76500.0
20110101:1700,13.16,33.95,0.0,-0.0,0.0,279.45,2.48,65.0,76550.0
20110101:1800,12.15,36.45,0.0,-0.0,0.0,281.75,2.14,71.0,76550.0
20110101:1900,11.53,40.8,0.0,-0.0,0.0,282.55,1.72,72.0,76560.0
20110101:2000,10.61,45.55,0.0,-0.0,0.0,280.2,1.72,67.0,76540.0
20110101:2100,9.52,50.85,0.0,-0.0,0.0,270.95,1.66,63.0,76480.0
20110101:2200,8.52,54.65,0.0,-0.0,0.0,269.2,1.52,61.0,76450.0
20110101:2300,7.57,58.8,0.0,-0.0,0.0,263.75,1.52,59.0,76400.0
20110102:0000,6.86,61.0,0.0,-0.0,0.0,266.65,1.52,57.0,76360.0
20110102:0100,6.23,63.25,0.0,-0.0,0.0,265.25,1.59,56.0,76360.0
20110102:0200,5.74,65.65,0.0,-0.0,0.0,267.25,1.59,55.0,76370.0
20110102:0300,5.24,68.1,0.0,-0.0,0.0,261.65,1.66,53.0,76420.0
20110102:0400,4.93,68.1,51.0,0.0,51.0,255.65,1.66,50.0,76460.0
20110102:0500,8.55,52.6,319.0,787.34,107.0,263.0,1.52,64.0,76510.0
20110102:0600,11.84,40.8,541.0,881.09,131.0,266.1,1.59,85.0,76540.0
20110102:0700,14.23,35.6,715.0,908.98,149.0,277.7,0.97,120.0,76550.0
20110102:0800,15.99,32.2,826.0,912.99,159.0,286.8,0.9,173.0,76520.0
20110102:0900,17.48,30.1,868.0,912.16,155.0,292.2,1.17,211.0,76440.0
20110102:1000,18.6,28.1,800.0,780.61,197.0,298.2,1.52,228.0,76370.0
20110102:1100,19.33,27.2,552.0,325.46,323.0,301.7,1.79,229.0,76300.0
20110102:1200,19.63,25.3,164.0,0.0,164.0,307.5,1.52,235.0,76260.0
20110102:1300,19.18,27.2,31.0,0.0,31.0,326.5,1.45,256.0,76270.0
20110102:1400,17.8,30.1,48.0,0.0,48.0,318.35,0.62,331.0,76340.0
20110102:1500,16.18,31.0,0.0,-0.0,0.0,305.55,1.59,43.0,76420.0
20110102:1600,14.58,33.05,0.0,-0.0,0.0,297.25,2.28,64.0,76490.0
20110102:1700,13.32,36.7,0.0,-0.0,0.0,304.05,2.07,73.0,76540.0
20110102:1800,12.66,38.0,0.0,-0.0,0.0,306.55,1.86,80.0,76560.0
20110102:1900,11.72,42.4,0.0,-0.0,0.0,283.5,1.59,71.0,76560.0
20110102:2000,11.02,43.95,0.0,-0.0,0.0,292.05,1.52,67.0,76520.0
20110102:2100,10.03,47.2,0.0,-0.0,0.0,274.05,1.45,58.0,76510.0
20110102:2200,9.1,50.7,0.0,-0.0,0.0,276.75,1.38,54.0,76470.0
20110102:2300,8.05,54.55,0.0,-0.0,0.0,263.95,1.38,54.0,76440.0
20110103:0000,7.26,58.65,0.0,-0.0,0.0,265.9,1.38,53.0,76400.0
20110103:0100,6.53,60.85,0.0,-0.0,0.0,260.2,1.52,54.0,76390.0
20110103:0200,6.0,58.55,0.0,-0.0,0.0,262.4,1.66,53.0,76400.0
20110103:0300,5.46,60.75,0.0,-0.0,0.0,257.6,1.66,50.0,76420.0
20110103:0400,5.18,63.05,44.0,0.0,44.0,254.3,1.66,48.0,76450.0
20110103:0500,8.74,48.65,322.0,816.08,103.0,256.6,1.52,62.0,76510.0
20110103:0600,12.37,36.55,551.0,918.67,124.0,266.5,1.66,84.0,76560.0
20110103:0700,14.41,35.75,724.0,933.21,143.0,273.65,0.83,87.0,76590.0
20110103:0800,16.09,33.5,837.0,937.14,152.0,282.35,0.34,80.0,76560.0
20110103:0900,17.44,30.1,880.0,934.17,149.0,289.5,0.28,116.0,76470.0
20110103:1000,18.52,28.1,840.0,895.63,147.0,294.95,0.48,150.0,76400.0
20110103:1100,19.23,27.2,733.0,853.54,131.0,301.3,0.76,173.0,76310.0
20110103:1200,19.49,26.3,564.0,788.96,105.0,301.5,0.83,184.0,76280.0
20110103:1300,19.36,26.15,338.0,619.5,83.0,302.85,0.55,133.0,76280.0
