Latitude (decimal degrees): 15.967
Longitude (decimal degrees): 48.797
Elevation (m): 641.0
Irradiance Time Offset (h): -0.2277
month,year
1,2013
2,2020
3,2019
4,2006
5,2006
6,2015
7,2005
8,2008
9,2015
10,2013
11,2009
12,2006
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,13.49,39.36,0.0,-0.0,0.0,277.9,2.21,19.0,92070.0
20130101:0100,13.37,40.33,0.0,-0.0,0.0,276.52,2.03,16.0,92090.0
20130101:0200,13.25,41.31,0.0,-0.0,0.0,275.14,1.85,15.0,92130.0
20130101:0300,13.13,42.28,0.0,-0.0,0.0,273.76,1.67,16.0,92210.0
20130101:0400,13.01,43.25,151.0,646.42,77.0,272.38,1.49,16.0,92290.0
20130101:0500,12.88,44.23,392.0,809.43,126.0,271.0,1.31,21.0,92360.0
20130101:0600,12.76,45.2,612.0,914.14,143.0,269.62,1.13,37.0,92410.0
20130101:0700,12.64,46.17,759.0,883.72,180.0,268.24,0.95,37.0,92370.0
20130101:0800,18.93,27.2,858.0,916.35,175.0,288.95,2.83,31.0,92300.0
20130101:0900,20.5,21.9,871.0,894.03,176.0,292.6,2.9,26.0,92170.0
20130101:1000,21.82,18.3,792.0,800.95,192.0,295.3,3.1,22.0,92050.0
20130101:1100,22.75,16.4,650.0,703.43,184.0,295.9,3.45,20.0,91980.0
20130101:1200,23.17,15.75,448.0,544.57,163.0,294.75,3.72,22.0,91970.0
20130101:1300,22.96,15.15,226.0,357.53,104.0,292.4,4.07,25.0,91980.0
20130101:1400,22.11,15.65,11.0,0.0,11.0,288.55,4.0,29.0,92030.0
20130101:1500,20.64,17.95,0.0,-0.0,0.0,285.05,3.66,30.0,92100.0
20130101:1600,19.27,20.8,0.0,-0.0,0.0,283.1,3.86,29.0,92160.0
20130101:1700,17.93,24.9,0.0,-0.0,0.0,280.8,3.93,27.0,92200.0
20130101:1800,16.71,29.95,0.0,-0.0,0.0,278.65,3.66,24.0,92230.0
20130101:1900,15.57,35.85,0.0,-0.0,0.0,277.3,3.24,27.0,92260.0
20130101:2000,14.4,41.5,0.0,-0.0,0.0,276.75,2.97,24.0,92270.0
20130101:2100,13.1,47.85,0.0,-0.0,0.0,276.15,2.62,22.0,92250.0
20130101:2200,11.78,53.35,0.0,-0.0,0.0,275.6,2.34,18.0,92230.0
20130101:2300,11.22,55.4,0.0,-0.0,0.0,274.4,2.07,16.0,92230.0
20130102:0000,11.47,55.4,0.0,-0.0,0.0,273.45,1.72,15.0,92230.0
20130102:0100,12.77,53.6,0.0,-0.0,0.0,271.8,1.31,11.0,92230.0
20130102:0200,12.39,55.5,0.0,-0.0,0.0,270.55,1.1,2.0,92270.0
20130102:0300,11.87,57.55,0.0,-0.0,0.0,269.2,1.03,357.0,92330.0
20130102:0400,11.56,57.55,140.0,502.97,83.0,268.8,0.97,356.0,92420.0
20130102:0500,13.58,53.7,388.0,790.16,129.0,273.05,1.03,6.0,92480.0
20130102:0600,15.8,45.15,600.0,862.28,158.0,280.2,2.14,32.0,92500.0
20130102:0700,18.15,36.55,757.0,880.68,180.0,287.75,3.66,41.0,92490.0
20130102:0800,19.9,29.6,857.0,914.45,175.0,294.55,3.72,42.0,92390.0
20130102:0900,21.4,24.85,870.0,891.68,176.0,299.55,3.59,40.0,92290.0
20130102:1000,22.55,22.25,797.0,815.49,185.0,303.25,3.38,38.0,92170.0
20130102:1100,23.39,20.05,658.0,730.22,173.0,304.8,3.24,36.0,92120.0
20130102:1200,23.77,18.65,459.0,584.39,152.0,304.8,3.31,34.0,92070.0
20130102:1300,23.62,18.55,237.0,407.71,97.0,302.85,3.38,34.0,92090.0
20130102:1400,22.98,19.15,15.0,15.3,13.0,299.0,3.24,36.0,92130.0
20130102:1500,21.66,20.5,0.0,-0.0,0.0,295.3,2.69,37.0,92180.0
20130102:1600,20.44,22.75,0.0,-0.0,0.0,292.6,2.97,34.0,92250.0
