Latitude (decimal degrees): 21.485,,,,,,,,,
Longitude (decimal degrees): 39.763,,,,,,,,,
Elevation (m): 262.0,,,,,,,,,
Irradiance Time Offset (h): 0.1394,,,,,,,,,
month,year,,,,,,,,
1,2006,,,,,,,,
2,2018,,,,,,,,
3,2011,,,,,,,,
4,2019,,,,,,,,
5,2006,,,,,,,,
6,2012,,,,,,,,
7,2010,,,,,,,,
8,2008,,,,,,,,
9,2017,,,,,,,,
10,2013,,,,,,,,
11,2014,,,,,,,,
12,2014,,,,,,,,
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,20.95,63.27,0,0,0,334.58,1.43,105,96830
20060101:0100,20.62,63.18,0,0,0,334.33,1.43,87,96820
20060101:0200,20.3,63.09,0,0,0,334.08,1.42,79,96830
20060101:0300,19.97,62.99,0,0,0,333.83,1.41,74,96850
20060101:0400,19.64,62.9,0,0,0,333.58,1.4,74,96900
20060101:0500,19.31,62.81,163,284.09,97,333.33,1.39,73,96960
20060101:0600,18.98,62.71,387,625.66,125,333.08,1.38,71,97020
20060101:0700,18.65,62.62,560,726.75,148,332.83,1.37,161,97090
20060101:0800,26.28,47.75,687,802.5,152,360.55,1.1,237,97030
20060101:0900,27.69,43.4,745,833.76,152,368.45,1.93,235,96950
20060101:1000,28.82,39.35,723,815.67,154,373.5,2.48,226,96850
20060101:1100,29.58,36.85,636,780.36,147,376,3.03,214,96780
20060101:1200,29.85,35.7,464,602.12,161,377.75,3.52,203,96740
20060101:1300,29.67,38.15,310,655.23,90,378.95,4,200,96740
20060101:1400,28.86,42.2,87,272.73,50,382.2,4.28,202,96760
20060101:1500,27.39,51.45,0,0,0,377.2,3.93,205,96790
20060101:1600,26.06,62.65,0,0,0,375.65,3.52,205,96840
20060101:1700,25,71.5,0,0,0,373.9,2.76,202,96870
20060101:1800,24.24,76.35,0,0,0,370.6,1.86,197,96890
20060101:1900,23.67,78.9,0,0,0,367.3,0.41,184,96900
20060101:2000,23.05,84.25,0,0,0,364,0.62,41,96870
20060101:2100,22.23,87.05,0,0,0,361.3,0.97,32,96850
20060101:2200,22.14,87.05,0,0,0,357.85,0.76,30,96820
20060101:2300,21.89,89.95,0,0,0,352.4,0.62,66,96770
20060102:0000,21.46,89.95,0,0,0,348.95,0.69,87,96740
20060102:0100,20.94,89.9,0,0,0,350.95,0.83,89,96720
20060102:0200,20.45,86.85,0,0,0,344.5,0.97,79,96720
20060102:0300,19.85,83.95,0,0,0,347.95,1.1,68,96760
20060102:0400,18.88,86.8,0,0,0,344.65,1.38,61,96790
20060102:0500,19.17,78.35,156,246.16,99,350.85,1.52,55,96820
20060102:0600,22.86,66.45,376,568.89,138,355.9,1.45,53,96860
20060102:0700,24.63,62.35,521,564.44,201,374.85,1.03,27,96880
20060102:0800,26.18,52.95,664,716.49,186,377.75,0.07,270,96840
20060102:0900,27.66,46.4,651,519.54,281,391.3,1.66,199,96750
20060102:1000,28.99,40.75,574,353.39,327,393.25,3.1,193,96670
20060102:1100,29.73,36.95,363,82.76,311,407.75,3.86,190,96580
20060102:1200,29.96,35.7,325,152.41,248,396.75,4.34,190,96560
20060102:1300,29.72,35.7,235,245.6,152,394.8,4.55,191,96550
20060102:1400,29.07,39.35,89,290.02,49,395.95,4.48,195,96560
20060102:1500,27.72,46.5,0,0,0,383.55,4.07,203,96590
20060102:1600,26.41,54.8,0,0,0,370,3.45,207,96640
20060102:1700,25.36,62.55,0,0,0,367.7,2.76,207,96680
20060102:1800,24.54,69.05,0,0,0,368.85,1.59,208,96720
20060102:1900,24.23,71.4,0,0,0,366.55,0.41,302,96710
20060102:2000,23.09,78.75,0,0,0,367.9,1.17,3,96680
20060102:2100,22.3,81.4,0,0,0,363.65,1.59,16,96640
20060102:2200,21.86,84.1,0,0,0,364.2,1.38,18,96630
20060102:2300,22.62,78.7,0,0,0,359.2,0.69,16,96580
20060103:0000,22.3,78.7,0,0,0,360.35,0.14,116,96560
20060103:0100,21.84,81.35,0,0,0,354.65,0.55,143,96550
20060103:0200,21.54,81.3,0,0,0,353.55,0.62,99,96560
20060103:0300,21.09,81.2,0,0,0,350.5,1.03,63,96580
20060103:0400,19.84,81.15,0,0,0,347.55,1.38,56,96600
20060103:0500,20.03,81.15,116,73.63,99,347.55,1.31,59,96620
20060103:0600,22.91,68.75,353,454.49,163,350.65,0.76,72,96650
20060103:0700,24.97,64.6,540,636.64,179,363.05,1.45,33,96720
20060103:0800,26.5,54.8,662,703.9,192,376.2,0.76,3,96680
20060103:0900,27.84,44.95,656,531.42,277,379.3,0.48,251,96600
20060103:1000,28.8,38,649,551.13,263,396.15,1.31,212,96510
20060103:1100,29.51,35.6,610,661.74,193,393.25,2.07,201,96460
20060103:1200,29.86,33.3,498,733.28,126,392.1,2.83,191,96430
20060103:1300,29.88,33.3,306,611.4,98,386.85,3.17,182,96420
20060103:1400,29.34,34.35,8,0,8,389,3.1,184,96440
20060103:1500,28.24,39.25,0,0,0,381.65,2.76,195,96490
20060103:1600,27.04,47.9,0,0,0,369.85,2.62,201,96530
20060103:1700,26.01,54.7,0,0,0,372.95,2.28,202,96580
20060103:1800,25.08,60.35,0,0,0,366.35,1.38,198,96590
20060103:1900,24.17,66.75,0,0,0,362.1,0.34,180,96600
20060103:2000,23.64,71.25,0,0,0,357.05,0.55,14,96630
20060103:2100,22.57,76.1,0,0,0,354.55,0.97,4,96590
20060103:2200,22.61,78.7,0,0,0,352.4,0.69,5,96590
20060103:2300,22.21,78.7,0,0,0,348.95,0.41,75,96580
20060104:0000,21.7,78.65,0,0,0,346.2,0.76,95,96540
20060104:0100,21.22,81.3,0,0,0,345.15,0.9,84,96520
20060104:0200,20.6,83.95,0,0,0,347.55,1.03,73,96530
20060104:0300,19.34,83.9,0,0,0,342.95,1.38,65,96550
20060104:0400,18.32,81,0,0,0,336.15,1.72,64,96580
20060104:0500,18.58,72.95,155,243.19,99,331.9,1.66,64,96620
20060104:0600,22.63,57.75,318,308.75,189,336.95,1.17,60,96680
20060104:0700,24.69,60.35,493,458.36,233,352,0.07,18,96730
20060104:0800,26.25,54.8,684,779.52,163,362.5,0.76,240,96710
20060104:0900,27.88,46.5,675,582.39,259,371.4,1.72,211,96610
20060104:1000,29.26,38.15,684,653.94,225,377.75,2.83,202,96520
20060104:1100,30.12,34.5,569,509.46,247,381.05,3.66,199,96460
20060104:1200,30.43,32.25,391,304.25,236,379.5,4.07,196,96420
20060104:1300,30.22,32.25,287,481.74,122,379.9,4.34,193,96420
20060104:1400,29.34,36.85,88,238.47,54,382.4,4.28,196,96460
20060104:1500,27.88,46.5,0,0,0,379.3,3.79,203,96510
20060104:1600,26.56,56.7,0,0,0,380.45,3.59,201,96590
20060104:1700,25.5,62.55,0,0,0,378.15,2.97,196,96660
20060104:1800,24.74,66.85,0,0,0,372.95,2.14,193,96690
20060104:1900,24.12,73.75,0,0,0,370.6,0.97,198,96710
20060104:2000,23.28,76.2,0,0,0,370.2,0.9,348,96730
20060104:2100,22.43,81.4,0,0,0,362.85,1.17,343,96680
20060104:2200,22.59,81.4,0,0,0,361.5,0.69,324,96650
20060104:2300,22.32,81.4,0,0,0,357.65,0.41,204,96630
20060105:0000,21.34,86.95,0,0,0,350.1,0.97,170,96600
20060105:0100,21.36,84.05,0,0,0,353.1,0.83,140,96590
20060105:0200,21,84.05,0,0,0,351.65,0.97,96,96610
20060105:0300,19.53,86.85,0,0,0,347.95,1.45,69,96670
20060105:0400,18.68,83.85,0,0,0,344.85,2.28,58,96720
20060105:0500,19.37,73.15,128,117.52,101,347.95,2.28,56,96780
20060105:0600,22.87,57.9,381,600.95,130,350.3,2.28,53,96820
20060105:0700,25.83,49.3,555,699.52,158,358.4,1.59,58,96860
20060105:0800,27.49,43.3,690,804.06,152,365.2,0.62,132,96830
20060105:0900,29.03,35.45,746,824.61,156,372.95,2.07,184,96720
20060105:1000,30.23,30.05,731,818.75,155,374.45,3.24,190,96660
20060105:1100,30.82,28,649,796.55,144,375.45,3.93,191,96570
20060105:1200,30.89,28,490,678.19,143,375.45,4.21,192,96520
20060105:1300,30.43,29,185,84.09,156,377.95,4.28,193,96540
20060105:1400,29.38,34.35,99,338.01,50,380.1,4.48,195,96560
20060105:1500,27.74,43.4,0,0,0,370,4.41,194,96610
20060105:1600,26.13,56.6,0,0,0,368.45,4.34,190,96670
20060105:1700,24.88,64.6,0,0,0,364.2,3.86,185,96710
20060105:1800,24.02,71.35,0,0,0,360.95,2.9,179,96740
20060105:1900,23.44,76.2,0,0,0,361.7,2.34,175,96760
20060105:2000,22.69,81.45,0,0,0,359,1.59,165,96780
20060105:2100,22.13,87,0,0,0,356.3,0.97,148,96720
20060105:2200,21.98,87,0,0,0,353.55,0.76,124,96700
20060105:2300,21.72,84.1,0,0,0,351.45,0.9,122,96670
20060106:0000,21.53,86.95,0,0,0,349.5,0.97,123,96640
20060106:0100,21.44,84.05,0,0,0,347.9,0.83,110,96620
20060106:0200,21.01,84.05,0,0,0,346.2,0.97,76,96650
20060106:0300,19.18,83.9,0,0,0,344.5,1.59,57,96680
20060106:0400,18.31,86.75,0,0,0,343.9,2.14,48,96740
20060106:0500,19.03,78.3,159,274.74,96,342.55,2.14,45,96790
20060106:0600,23.05,59.95,385,622.58,125,347.75,2.14,40,96830
20060106:0700,25.42,56.5,564,741.32,143,358.6,1.52,44,96880
20060106:0800,26.84,47.9,690,803.05,152,367.7,0.34,98,96840
20060106:0900,28.14,43.4,747,823.14,157,375.05,1.17,191,96740
20060106:1000,29.27,36.85,728,804.03,161,379.9,2.41,197,96640
20060106:1100,29.83,35.7,647,784.58,148,386.3,3.45,191,96580
20060106:1200,29.73,35.7,455,515.63,190,398.85,4.07,189,96540
20060106:1300,29.18,39.35,252,290.84,151,406.6,4.76,191,96530
