Latitude (decimal degrees): 23.615
Longitude (decimal degrees): 58.555
Elevation (m): 99.0
Irradiance Time Offset (h): -0.1991
month,year
1,2021
2,2020
3,2008
4,2009
5,2018
6,2009
7,2007
8,2013
9,2014
10,2011
11,2013
12,2023
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20210101:0000,19.19,67.31,0.0,-0.0,0.0,324.58,1.94,152.0,99370.0
20210101:0100,19.01,65.6,0.0,-0.0,0.0,323.49,1.92,152.0,99360.0
20210101:0200,18.83,63.89,0.0,-0.0,0.0,322.39,1.9,147.0,99390.0
20210101:0300,18.65,62.17,0.0,-0.0,0.0,321.3,1.88,141.0,99460.0
20210101:0400,18.47,60.46,97.0,15.3,94.0,320.21,1.87,132.0,99530.0
20210101:0500,18.28,58.75,380.0,572.83,161.0,319.11,1.85,109.0,99600.0
20210101:0600,18.1,57.03,532.0,635.51,194.0,318.02,1.83,88.0,99610.0
20210101:0700,17.92,55.32,686.0,876.31,130.0,316.93,1.81,76.0,99580.0
20210101:0800,22.23,37.65,722.0,862.12,133.0,331.7,2.97,58.0,99480.0
20210101:0900,22.46,36.4,672.0,773.69,150.0,331.3,3.59,51.0,99390.0
20210101:1000,22.4,37.75,568.0,695.62,144.0,331.3,3.79,50.0,99330.0
20210101:1100,22.12,39.05,374.0,420.6,167.0,329.0,3.72,53.0,99290.0
20210101:1200,21.68,40.35,208.0,335.78,97.0,326.85,3.38,55.0,99300.0
20210101:1300,21.14,43.25,15.0,0.0,15.0,331.7,3.03,55.0,99340.0
20210101:1400,20.65,44.7,0.0,-0.0,0.0,324.95,2.55,60.0,99400.0
20210101:1500,20.41,46.35,0.0,-0.0,0.0,331.5,2.07,68.0,99480.0
20210101:1600,20.14,47.9,0.0,-0.0,0.0,327.65,1.59,82.0,99490.0
20210101:1700,19.67,51.4,0.0,-0.0,0.0,330.75,0.97,105.0,99520.0
20210101:1800,19.87,47.9,0.0,-0.0,0.0,334.2,0.48,148.0,99520.0
20210101:1900,19.7,49.55,0.0,-0.0,0.0,337.9,0.62,222.0,99430.0
20210101:2000,19.45,49.55,0.0,-0.0,0.0,329.95,0.9,252.0,99420.0
20210101:2100,18.41,53.0,0.0,-0.0,0.0,318.15,1.31,268.0,99400.0
20210101:2200,17.38,58.8,0.0,-0.0,0.0,307.1,1.66,277.0,99420.0
20210101:2300,16.78,60.75,0.0,-0.0,0.0,305.75,1.86,284.0,99430.0
20210102:0000,16.64,60.75,0.0,-0.0,0.0,304.4,1.86,288.0,99420.0
20210102:0100,17.05,58.7,0.0,-0.0,0.0,304.35,1.66,292.0,99420.0
20210102:0200,17.4,52.75,0.0,-0.0,0.0,304.6,1.52,297.0,99450.0
20210102:0300,17.61,50.85,0.0,-0.0,0.0,305.4,1.45,304.0,99530.0
20210102:0400,17.3,49.05,210.0,588.76,95.0,307.1,1.45,312.0,99600.0
20210102:0500,19.87,41.45,418.0,785.47,118.0,311.95,2.0,330.0,99670.0
20210102:0600,20.78,41.55,588.0,876.12,122.0,316.8,3.03,342.0,99690.0
20210102:0700,21.37,37.5,700.0,911.86,121.0,320.3,3.45,351.0,99640.0
20210102:0800,21.82,36.15,729.0,874.1,131.0,320.3,4.14,351.0,99550.0
20210102:0900,21.99,35.0,683.0,798.76,143.0,320.3,4.55,351.0,99460.0
20210102:1000,22.01,33.7,585.0,746.01,129.0,318.75,4.62,349.0,99410.0
20210102:1100,21.8,33.6,437.0,679.93,101.0,315.85,4.41,347.0,99360.0
20210102:1200,21.48,33.6,240.0,504.84,72.0,311.95,4.14,345.0,99370.0
20210102:1300,20.96,34.7,20.0,0.0,20.0,307.1,3.79,341.0,99420.0
20210102:1400,20.36,35.9,0.0,-0.0,0.0,303.45,2.97,333.0,99470.0
20210102:1500,20.0,38.5,0.0,-0.0,0.0,300.75,2.41,317.0,99540.0
20210102:1600,19.52,39.8,0.0,-0.0,0.0,298.4,2.28,296.0,99540.0
20210102:1700,18.66,42.6,0.0,-0.0,0.0,296.85,2.34,279.0,99540.0
20210102:1800,17.71,45.55,0.0,-0.0,0.0,295.9,2.41,268.0,99520.0
20210102:1900,16.95,48.9,0.0,-0.0,0.0,296.85,2.07,259.0,99490.0
20210102:2000,16.48,50.6,0.0,-0.0,0.0,297.05,2.07,260.0,99440.0
20210102:2100,16.32,48.8,0.0,-0.0,0.0,296.1,2.0,267.0,99400.0
20210102:2200,16.45,47.0,0.0,-0.0,0.0,295.9,1.93,277.0,99370.0
20210102:2300,16.8,43.8,0.0,-0.0,0.0,296.1,1.79,291.0,99360.0
20210103:0000,17.14,42.15,0.0,-0.0,0.0,296.85,1.66,307.0,99340.0
20210103:0100,17.05,40.6,0.0,-0.0,0.0,298.5,1.66,320.0,99320.0
20210103:0200,17.2,39.15,0.0,-0.0,0.0,299.95,1.66,327.0,99340.0
20210103:0300,17.13,37.65,0.0,-0.0,0.0,301.7,1.66,330.0,99410.0
20210103:0400,16.5,39.0,165.0,246.55,117.0,304.2,1.79,331.0,99470.0
20210103:0500,19.54,34.3,399.0,673.38,142.0,309.05,2.55,338.0,99540.0
20210103:0600,20.45,37.25,578.0,836.43,133.0,314.1,3.79,346.0,99530.0
20210103:0700,20.82,37.25,685.0,862.26,137.0,319.1,4.48,351.0,99490.0
20210103:0800,21.07,36.0,730.0,872.79,132.0,320.65,4.83,351.0,99360.0
20210103:0900,21.19,36.0,680.0,783.78,149.0,320.5,5.03,352.0,99290.0
20210103:1000,21.15,36.0,586.0,745.44,129.0,319.3,4.97,351.0,99210.0
20210103:1100,20.99,34.7,430.0,644.83,110.0,316.6,4.76,351.0,99200.0
20210103:1200,20.69,35.9,240.0,495.46,74.0,312.75,4.41,350.0,99230.0
20210103:1300,20.17,35.75,38.0,121.08,21.0,307.9,3.93,347.0,99280.0
20210103:1400,19.61,36.95,0.0,-0.0,0.0,302.1,3.1,337.0,99300.0
20210103:1500,19.29,36.8,0.0,-0.0,0.0,297.65,2.55,321.0,99370.0
20210103:1600,18.86,36.8,0.0,-0.0,0.0,294.55,2.21,308.0,99390.0
20210103:1700,17.85,39.4,0.0,-0.0,0.0,292.05,2.0,295.0,99400.0
20210103:1800,16.76,43.65,0.0,-0.0,0.0,289.5,1.93,285.0,99400.0
20210103:1900,16.5,45.3,0.0,-0.0,0.0,292.2,1.93,282.0,99340.0
20210103:2000,15.9,46.9,0.0,-0.0,0.0,290.3,2.07,286.0,99290.0
20210103:2100,15.53,48.55,0.0,-0.0,0.0,289.1,2.14,287.0,99260.0
20210103:2200,15.18,50.25,0.0,-0.0,0.0,288.55,2.14,289.0,99240.0
20210103:2300,15.08,50.25,0.0,-0.0,0.0,288.55,2.14,293.0,99210.0
20210104:0000,15.06,48.4,0.0,-0.0,0.0,288.55,2.07,297.0,99200.0
20210104:0100,14.94,48.4,0.0,-0.0,0.0,288.45,2.14,300.0,99210.0
20210104:0200,15.13,48.4,0.0,-0.0,0.0,288.35,2.0,299.0,99240.0
20210104:0300,15.39,45.05,0.0,-0.0,0.0,288.35,1.93,296.0,99310.0
20210104:0400,15.52,43.4,225.0,736.61,82.0,289.1,1.79,295.0,99410.0
20210104:0500,18.91,34.15,428.0,833.64,110.0,293.2,2.07,309.0,99480.0
