Latitude (decimal degrees): 24.539,,,,,,,,,
Longitude (decimal degrees): 46.663,,,,,,,,,
Elevation (m): 666.0,,,,,,,,,
Irradiance Time Offset (h): -0.1961,,,,,,,,,
month,year,,,,,,,,
1,2022,,,,,,,,
2,2017,,,,,,,,
3,2008,,,,,,,,
4,2008,,,,,,,,
5,2006,,,,,,,,
6,2012,,,,,,,,
7,2006,,,,,,,,
8,2006,,,,,,,,
9,2016,,,,,,,,
10,2022,,,,,,,,
11,2021,,,,,,,,
12,2020,,,,,,,,
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20220101:0000,13.77,74.46,0,0,0,348.27,4.12,93,94310
20220101:0100,13.57,78.73,0,0,0,353.7,4.29,98,94280
20220101:0200,13.37,83,0,0,0,359.12,4.46,104,94260
20220101:0300,13.17,87.27,0,0,0,364.55,4.63,111,94290
20220101:0400,12.96,91.54,31,0,31,369.98,4.8,115,94340
20220101:0500,12.76,95.81,22,0,22,375.4,4.97,116,94370
20220101:0600,12.56,100,54,0,54,380.83,5.14,114,94430
20220101:0700,12.36,100,197,1.83,196,386.25,5.31,109,94430
20220101:0800,15.36,80.6,190,0,190,383.75,6.28,113,94340
20220101:0900,15.96,77.95,154,0,154,383.75,6.07,118,94250
20220101:1000,16.7,75.3,91,0,91,383.55,5.59,123,94160
20220101:1100,16.99,72.8,55,0,55,383.2,5.38,118,94050
20220101:1200,17.58,72.8,128,2.22,127,376.2,5.72,119,94010
20220101:1300,18,70.35,38,0,38,382.2,5.52,120,93980
20220101:1400,17.84,72.8,0,0,0,371.75,4.48,112,93980
20220101:1500,17.34,75.4,0,0,0,368.5,4.28,101,93990
20220101:1600,16.87,78,0,0,0,363.05,4.34,96,94010
20220101:1700,16.28,80.75,0,0,0,353.2,4.41,95,94030
20220101:1800,15.88,86.5,0,0,0,353.4,4.21,101,94050
20220101:1900,15.67,86.5,0,0,0,354.75,4.28,107,94010
20220101:2000,15.49,89.6,0,0,0,361.5,4.34,110,93960
20220101:2100,15.18,92.75,0,0,0,357.25,4.14,114,93920
20220101:2200,14.95,92.75,0,0,0,359.2,3.86,122,93870
20220101:2300,14.88,96,0,0,0,364.8,3.86,131,93830
20220102:0000,14.74,96,0,0,0,360.75,3.72,132,93750
20220102:0100,14.55,96,0,0,0,355.25,3.24,137,93710
20220102:0200,14.64,96,0,0,0,371.55,2.55,134,93670
20220102:0300,14.59,96,0,0,0,367.3,2,137,93700
20220102:0400,14.41,99.35,7,0,7,360.35,1.24,146,93750
20220102:0500,14.91,99.4,233,494.66,120,362.1,1.24,164,93780
20220102:0600,16.05,86.55,93,0,93,356.1,1.59,208,93790
20220102:0700,18.22,80.9,447,283.43,292,358,2.62,231,93720
20220102:0800,19.72,73.15,715,894.39,144,353.55,4.07,269,93680
20220102:0900,20.8,66.05,738,877.95,145,346.2,5.38,278,93570
20220102:1000,21.14,63.9,511,302.11,313,359,5.52,279,93460
20220102:1100,21.5,59.7,429,293.27,259,350.65,5.86,274,93430
20220102:1200,21.5,59.7,96,0,96,347.75,5.66,274,93410
20220102:1300,20.97,61.6,123,94.66,96,348.95,5.45,273,93450
20220102:1400,19.4,70.55,0,0,0,346.6,5.17,270,93560
20220102:1500,18.41,75.45,0,0,0,353.75,4.14,265,93620
20220102:1600,17.58,78.1,0,0,0,328.2,3.79,265,93700
20220102:1700,16.79,80.8,0,0,0,315.65,3.93,271,93770
20220102:1800,16,80.75,0,0,0,311.2,4.14,280,93820
20220102:1900,15.27,83.5,0,0,0,303.45,3.59,288,93800
20220102:2000,14.39,86.4,0,0,0,297.05,3.31,286,93800
20220102:2100,13.46,86.35,0,0,0,293.2,3.17,283,93770
20220102:2200,12.66,89.4,0,0,0,289.7,3.1,283,93760
20220102:2300,11.95,89.35,0,0,0,286.6,3.17,284,93750
20220103:0000,11.33,92.55,0,0,0,283.5,3.38,288,93740
20220103:0100,10.72,89.25,0,0,0,280.5,3.52,290,93760
20220103:0200,10.06,89.2,0,0,0,277.7,3.45,295,93800
20220103:0300,9.31,92.45,0,0,0,272.3,3.17,302,93860
20220103:0400,8.65,92.4,36,0,36,273.05,2.83,306,93940
20220103:0500,9.68,92.45,279,820.54,92,274.4,2.41,310,94020
20220103:0600,11.62,83.1,484,894.64,120,282.55,3.03,322,94080
20220103:0700,13.25,74.75,645,935.8,133,287.4,3.31,325,94140
20220103:0800,14.75,67.35,736,924.72,145,287.2,3.59,327,94080
20220103:0900,15.96,60.75,760,906.04,147,287.6,3.93,329,93980
20220103:1000,16.72,56.6,700,835.7,151,291.45,4.07,329,93920
20220103:1100,17.05,52.75,462,352.5,257,291.85,4.07,326,93890
20220103:1200,16.98,52.75,308,250.24,194,289.5,4.14,324,93910
20220103:1300,16.45,54.6,99,31.3,90,289.1,4.21,326,93950
20220103:1400,15.29,62.75,0,0,0,285.85,3.52,334,94000
20220103:1500,13.74,72.2,0,0,0,281.95,3.38,336,94090
20220103:1600,12.59,77.45,0,0,0,278.1,3.38,334,94200
20220103:1700,11.61,80.15,0,0,0,275.4,3.45,328,94270
20220103:1800,10.8,83,0,0,0,274.05,3.59,323,94330
20220103:1900,10.4,83,0,0,0,272.85,3.31,313,94340
