Latitude (decimal degrees): 24.981
Longitude (decimal degrees): 55.317
Elevation (m): 45.0
Irradiance Time Offset (h): -0.1943
month,year
1,2010
2,2019
3,2012
4,2007
5,2017
6,2021
7,2019
8,2020
9,2019
10,2015
11,2013
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,16.91,71.42,0.0,-0.0,0.0,317.57,2.91,132.0,100250.0
20100101:0100,16.73,69.02,0.0,-0.0,0.0,315.43,2.96,136.0,100250.0
20100101:0200,16.55,66.62,0.0,-0.0,0.0,313.29,3.01,144.0,100290.0
20100101:0300,16.37,64.21,0.0,-0.0,0.0,311.15,3.06,148.0,100350.0
20100101:0400,16.2,61.81,174.0,714.34,73.0,309.01,3.11,154.0,100410.0
20100101:0500,16.02,59.41,358.0,672.1,135.0,306.87,3.17,168.0,100490.0
20100101:0600,15.84,57.01,518.0,698.29,177.0,304.73,3.22,188.0,100550.0
20100101:0700,15.66,54.61,627.0,702.92,205.0,302.59,3.27,215.0,100430.0
20100101:0800,24.85,29.7,723.0,861.85,154.0,338.3,5.38,247.0,100350.0
20100101:0900,24.61,30.8,661.0,686.94,205.0,343.1,6.69,275.0,100280.0
20100101:1000,23.64,39.45,332.0,70.38,289.0,355.1,6.97,292.0,100240.0
20100101:1100,22.96,43.65,263.0,77.2,224.0,372.15,5.59,301.0,100230.0
20100101:1200,22.39,46.75,200.0,180.92,136.0,359.95,4.55,299.0,100220.0
20100101:1300,21.79,51.9,23.0,0.0,23.0,357.85,3.79,292.0,100260.0
20100101:1400,21.02,53.6,0.0,-0.0,0.0,356.85,3.17,288.0,100280.0
20100101:1500,19.67,63.6,0.0,-0.0,0.0,331.3,3.79,287.0,100360.0
20100101:1600,18.62,70.45,0.0,-0.0,0.0,326.3,4.0,289.0,100430.0
20100101:1700,17.83,78.1,0.0,-0.0,0.0,333.25,4.28,295.0,100500.0
20100101:1800,16.73,83.65,0.0,-0.0,0.0,332.5,4.0,292.0,100550.0
20100101:1900,17.14,78.1,0.0,-0.0,0.0,335.75,2.9,292.0,100480.0
20100101:2000,16.3,83.6,0.0,-0.0,0.0,329.95,2.62,277.0,100470.0
20100101:2100,16.05,86.55,0.0,-0.0,0.0,345.85,2.48,256.0,100430.0
20100101:2200,15.87,86.5,0.0,-0.0,0.0,338.85,2.97,257.0,100430.0
20100101:2300,16.16,80.75,0.0,-0.0,0.0,352.4,3.38,268.0,100430.0
20100102:0000,16.39,80.75,0.0,-0.0,0.0,356.3,3.59,266.0,100400.0
20100102:0100,16.16,77.95,0.0,-0.0,0.0,339.55,3.66,260.0,100420.0
20100102:0200,15.96,77.95,0.0,-0.0,0.0,335.0,3.72,258.0,100450.0
20100102:0300,15.73,80.65,0.0,-0.0,0.0,333.85,3.79,257.0,100520.0
20100102:0400,16.15,80.75,27.0,0.0,27.0,335.4,3.72,255.0,100610.0
20100102:0500,18.24,70.35,296.0,334.96,185.0,353.2,3.93,261.0,100680.0
20100102:0600,20.17,57.3,492.0,575.44,211.0,347.95,5.66,283.0,100730.0
20100102:0700,21.04,53.6,394.0,111.52,327.0,339.25,6.34,291.0,100690.0
