Latitude (decimal degrees): 26.079
Longitude (decimal degrees): 50.583
Elevation (m): 29.0
Irradiance Time Offset (h): -0.1905
month,year
1,2018
2,2018
3,2013
4,2014
5,2019
6,2013
7,2014
8,2014
9,2011
10,2009
11,2008
12,2023
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,17.81,84.23,0.0,-0.0,0.0,328.44,3.69,184.0,101410.0
20180101:0100,17.26,85.14,0.0,-0.0,0.0,325.01,3.56,193.0,101400.0
20180101:0200,16.72,86.06,0.0,-0.0,0.0,321.58,3.42,198.0,101400.0
20180101:0300,16.18,86.97,0.0,-0.0,0.0,318.15,3.29,199.0,101440.0
20180101:0400,15.64,87.88,19.0,0.0,19.0,314.72,3.15,198.0,101510.0
20180101:0500,15.09,88.79,151.0,41.56,140.0,311.28,3.01,196.0,101540.0
20180101:0600,14.55,89.71,465.0,662.74,179.0,307.85,2.88,192.0,101570.0
20180101:0700,14.01,90.62,610.0,750.1,192.0,304.42,2.74,189.0,101580.0
20180101:0800,17.54,75.45,682.0,751.62,206.0,301.7,3.24,187.0,101490.0
20180101:0900,18.04,70.45,715.0,835.8,168.0,306.55,3.03,184.0,101380.0
20180101:1000,18.5,70.45,635.0,750.83,170.0,298.4,2.69,176.0,101290.0
20180101:1100,18.76,68.1,503.0,671.38,147.0,299.55,2.48,158.0,101210.0
20180101:1200,18.87,70.55,332.0,577.1,105.0,299.75,2.41,141.0,101180.0
20180101:1300,19.01,70.55,108.0,220.26,60.0,301.3,2.48,131.0,101160.0
20180101:1400,19.35,68.1,0.0,0.0,0.0,301.9,2.97,126.0,101130.0
20180101:1500,19.62,63.6,0.0,-0.0,0.0,301.9,3.45,123.0,101130.0
20180101:1600,19.53,68.1,0.0,-0.0,0.0,302.85,3.52,117.0,101180.0
20180101:1700,19.18,68.1,0.0,-0.0,0.0,303.65,3.66,113.0,101230.0
20180101:1800,19.08,68.1,0.0,-0.0,0.0,304.05,4.62,121.0,101250.0
20180101:1900,18.83,70.55,0.0,-0.0,0.0,306.15,6.34,133.0,101160.0
20180101:2000,18.57,70.55,0.0,-0.0,0.0,304.8,6.76,145.0,101140.0
20180101:2100,18.3,72.95,0.0,-0.0,0.0,304.05,6.55,152.0,101080.0
20180101:2200,18.16,72.95,0.0,-0.0,0.0,302.3,6.34,158.0,101060.0
20180101:2300,18.05,70.45,0.0,-0.0,0.0,301.3,6.21,164.0,101040.0
20180102:0000,17.95,72.9,0.0,-0.0,0.0,299.95,6.21,169.0,101010.0
20180102:0100,17.81,70.35,0.0,-0.0,0.0,299.3,5.93,176.0,101000.0
20180102:0200,17.58,70.35,0.0,-0.0,0.0,299.0,5.38,187.0,101040.0
20180102:0300,17.12,72.8,0.0,-0.0,0.0,299.55,5.03,209.0,101120.0
20180102:0400,16.64,72.7,65.0,148.51,55.0,299.4,5.38,225.0,101220.0
20180102:0500,16.63,67.75,243.0,351.98,150.0,299.4,5.45,233.0,101290.0
20180102:0600,16.61,63.05,420.0,496.02,206.0,299.2,5.45,251.0,101350.0
20180102:0700,16.77,58.7,542.0,527.29,248.0,303.85,4.41,275.0,101340.0
20180102:0800,17.33,56.75,625.0,586.71,253.0,311.95,3.86,296.0,101280.0
20180102:0900,18.15,59.05,641.0,616.19,237.0,313.7,4.48,315.0,101190.0
20180102:1000,18.98,61.3,572.0,554.05,228.0,319.9,4.83,336.0,101110.0
20180102:1100,19.49,65.75,446.0,467.91,197.0,325.9,5.03,348.0,101070.0
20180102:1200,20.11,68.3,298.0,432.38,127.0,337.3,6.41,346.0,101110.0
20180102:1300,20.44,73.2,66.0,31.79,59.0,337.3,8.14,342.0,101160.0
20180102:1400,20.26,73.2,0.0,0.0,0.0,341.0,9.45,340.0,101220.0
20180102:1500,19.87,75.7,0.0,-0.0,0.0,340.8,9.24,339.0,101310.0
20180102:1600,19.55,73.15,0.0,-0.0,0.0,338.1,8.83,336.0,101390.0
20180102:1700,19.34,73.05,0.0,-0.0,0.0,338.85,8.76,334.0,101460.0
20180102:1800,19.26,68.1,0.0,-0.0,0.0,335.55,8.62,335.0,101490.0
20180102:1900,19.28,65.75,0.0,-0.0,0.0,333.25,8.21,335.0,101490.0
20180102:2000,19.18,63.5,0.0,-0.0,0.0,325.7,7.93,332.0,101470.0
