Latitude (decimal degrees): 29.253
Longitude (decimal degrees): 47.731
Elevation (m): 45.0
Irradiance Time Offset (h): -0.1799
month,year
1,2018
2,2019
3,2008
4,2007
5,2005
6,2011
7,2009
8,2007
9,2019
10,2016
11,2020
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,12.41,69.06,0.0,-0.0,0.0,285.88,3.9,178.0,100640.0
20180101:0100,12.69,66.32,0.0,-0.0,0.0,286.33,4.05,178.0,100600.0
20180101:0200,12.96,63.57,0.0,-0.0,0.0,286.78,4.19,178.0,100570.0
20180101:0300,13.24,60.83,0.0,-0.0,0.0,287.23,4.34,177.0,100590.0
20180101:0400,13.51,58.09,23.0,0.0,23.0,287.68,4.49,176.0,100630.0
20180101:0500,13.79,55.34,203.0,483.75,106.0,288.13,4.64,175.0,100650.0
20180101:0600,14.06,52.6,386.0,653.74,145.0,288.58,4.79,171.0,100670.0
20180101:0700,14.33,49.86,534.0,760.07,155.0,289.02,4.94,163.0,100650.0
20180101:0800,22.09,27.95,612.0,758.21,171.0,307.1,6.41,160.0,100550.0
20180101:0900,23.96,24.4,640.0,784.35,160.0,313.3,6.9,158.0,100430.0
20180101:1000,25.25,22.15,589.0,745.42,151.0,318.75,7.17,156.0,100320.0
20180101:1100,25.92,20.65,480.0,686.08,130.0,321.45,7.38,153.0,100220.0
20180101:1200,25.81,21.45,314.0,548.17,103.0,322.6,7.31,147.0,100170.0
20180101:1300,24.81,24.65,120.0,285.78,57.0,320.3,6.83,144.0,100150.0
20180101:1400,22.82,30.3,0.0,0.0,0.0,316.2,6.28,140.0,100140.0
20180101:1500,21.1,34.7,0.0,-0.0,0.0,311.55,6.41,143.0,100180.0
20180101:1600,19.94,39.8,0.0,-0.0,0.0,309.65,6.0,150.0,100240.0
20180101:1700,18.99,41.15,0.0,-0.0,0.0,308.65,5.24,157.0,100300.0
20180101:1800,17.92,42.45,0.0,-0.0,0.0,311.4,3.59,190.0,100380.0
20180101:1900,16.82,43.8,0.0,-0.0,0.0,312.55,4.55,282.0,100430.0
20180101:2000,16.07,48.8,0.0,-0.0,0.0,316.6,8.28,316.0,100500.0
20180101:2100,15.0,60.5,0.0,-0.0,0.0,313.9,8.21,327.0,100520.0
20180101:2200,14.8,64.95,0.0,-0.0,0.0,343.7,6.97,329.0,100530.0
20180101:2300,14.49,64.95,0.0,-0.0,0.0,339.45,6.97,322.0,100560.0
20180102:0000,14.36,64.85,0.0,-0.0,0.0,333.85,6.69,324.0,100570.0
20180102:0100,14.3,60.3,0.0,-0.0,0.0,331.25,5.38,326.0,100550.0
20180102:0200,14.08,60.3,0.0,-0.0,0.0,325.3,4.14,319.0,100550.0
20180102:0300,13.85,62.45,0.0,-0.0,0.0,329.2,3.52,304.0,100600.0
20180102:0400,13.8,62.45,25.0,0.0,25.0,340.8,3.45,294.0,100710.0
20180102:0500,14.14,58.1,231.0,724.74,86.0,314.85,3.79,293.0,100780.0
20180102:0600,15.98,46.9,369.0,558.94,163.0,304.05,5.17,300.0,100850.0
20180102:0700,17.73,32.65,518.0,681.44,178.0,288.75,5.79,303.0,100870.0
20180102:0800,19.04,30.5,592.0,671.4,201.0,290.65,6.14,306.0,100820.0
20180102:0900,19.75,27.3,615.0,689.9,192.0,294.15,6.21,302.0,100740.0
20180102:1000,20.11,26.4,567.0,660.29,178.0,296.3,6.28,298.0,100670.0
20180102:1100,20.2,27.45,441.0,523.41,173.0,296.85,6.34,297.0,100630.0
20180102:1200,19.98,29.5,286.0,403.05,130.0,297.25,6.28,299.0,100660.0
20180102:1300,19.38,31.65,106.0,184.08,65.0,296.65,6.07,302.0,100690.0
20180102:1400,18.23,35.35,0.0,0.0,0.0,294.55,4.69,309.0,100750.0
20180102:1500,16.86,40.6,0.0,-0.0,0.0,292.6,3.93,314.0,100820.0
20180102:1600,15.7,46.9,0.0,-0.0,0.0,290.5,3.52,315.0,100900.0
20180102:1700,14.62,50.25,0.0,-0.0,0.0,288.15,3.31,310.0,100960.0
20180102:1800,13.58,55.9,0.0,-0.0,0.0,286.05,3.31,303.0,101000.0
20180102:1900,12.62,62.2,0.0,-0.0,0.0,284.65,3.24,287.0,100970.0
20180102:2000,11.81,66.75,0.0,-0.0,0.0,283.3,3.52,284.0,100990.0
20180102:2100,11.22,66.65,0.0,-0.0,0.0,282.55,3.72,283.0,100990.0
20180102:2200,10.73,69.1,0.0,-0.0,0.0,281.75,3.79,280.0,100980.0
20180102:2300,10.3,71.6,0.0,-0.0,0.0,281.2,3.79,278.0,100960.0
20180103:0000,9.82,74.2,0.0,-0.0,0.0,279.65,3.66,273.0,100980.0
20180103:0100,9.34,76.95,0.0,-0.0,0.0,278.8,3.66,269.0,100960.0
20180103:0200,9.01,76.95,0.0,-0.0,0.0,278.3,3.86,268.0,101000.0
20180103:0300,8.87,76.85,0.0,-0.0,0.0,281.2,4.0,266.0,101030.0
20180103:0400,8.79,76.85,25.0,0.0,25.0,280.8,4.07,263.0,101120.0
20180103:0500,10.2,66.45,225.0,675.95,90.0,281.2,3.93,261.0,101160.0
20180103:0600,13.48,53.7,400.0,727.16,132.0,286.6,3.93,261.0,101190.0
20180103:0700,17.07,39.25,547.0,801.03,147.0,291.45,4.21,263.0,101230.0
