Latitude (decimal degrees): 30.554
Longitude (decimal degrees): 36.764
Elevation (m): 948.0
Irradiance Time Offset (h): 0.1545
month,year
1,2015
2,2008
3,2018
4,2019
5,2018
6,2015
7,2018
8,2009
9,2021
10,2016
11,2015
12,2019
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,7.68,39.89,0.0,-0.0,0.0,277.06,2.61,188.0,90960.0
20150101:0100,7.73,39.56,0.0,-0.0,0.0,281.05,2.65,211.0,90930.0
20150101:0200,7.78,39.23,0.0,-0.0,0.0,285.04,2.69,226.0,90940.0
20150101:0300,7.84,38.9,0.0,-0.0,0.0,289.03,2.73,228.0,90940.0
20150101:0400,7.89,38.57,0.0,-0.0,0.0,293.03,2.76,232.0,90970.0
20150101:0500,7.94,38.24,86.0,447.69,35.0,297.02,2.8,253.0,91010.0
20150101:0600,7.99,37.91,203.0,233.05,135.0,301.01,2.84,272.0,91070.0
20150101:0700,8.04,37.59,328.0,268.21,211.0,305.0,2.88,272.0,91120.0
20150101:0800,16.13,21.6,440.0,346.11,254.0,283.1,3.24,293.0,91110.0
20150101:0900,17.98,22.1,566.0,606.72,209.0,295.3,3.66,309.0,91080.0
20150101:1000,19.04,21.5,355.0,95.6,299.0,301.5,4.0,313.0,91010.0
20150101:1100,19.83,20.1,306.0,81.18,263.0,316.8,4.14,311.0,90990.0
20150101:1200,20.06,19.35,364.0,452.88,172.0,303.85,4.28,307.0,90980.0
20150101:1300,19.61,19.2,183.0,206.68,126.0,307.1,4.48,308.0,91030.0
20150101:1400,18.44,20.55,59.0,283.34,32.0,293.55,4.83,312.0,91080.0
20150101:1500,16.2,24.35,0.0,-0.0,0.0,292.2,5.03,317.0,91120.0
20150101:1600,14.41,29.25,0.0,-0.0,0.0,298.8,5.17,318.0,91190.0
20150101:1700,12.83,35.3,0.0,-0.0,0.0,286.6,4.97,319.0,91230.0
20150101:1800,11.68,45.8,0.0,-0.0,0.0,287.6,4.69,318.0,91270.0
20150101:1900,10.78,59.6,0.0,-0.0,0.0,287.4,4.21,310.0,91250.0
20150101:2000,9.67,71.5,0.0,-0.0,0.0,274.8,4.14,310.0,91270.0
20150101:2100,8.57,76.85,0.0,-0.0,0.0,269.2,4.21,313.0,91280.0
20150101:2200,7.64,82.65,0.0,-0.0,0.0,268.4,4.41,318.0,91280.0
20150101:2300,6.62,85.7,0.0,-0.0,0.0,259.3,4.28,321.0,91250.0
20150102:0000,5.7,82.5,0.0,-0.0,0.0,253.9,4.07,323.0,91250.0
20150102:0100,4.99,85.55,0.0,-0.0,0.0,251.1,3.86,325.0,91240.0
20150102:0200,4.21,85.5,0.0,-0.0,0.0,244.4,3.66,325.0,91250.0
20150102:0300,3.5,88.7,0.0,-0.0,0.0,241.3,3.52,328.0,91280.0
20150102:0400,2.88,88.65,0.0,-0.0,0.0,242.85,3.1,329.0,91320.0
20150102:0500,2.28,88.65,76.0,291.01,43.0,234.75,2.83,326.0,91360.0
20150102:0600,4.02,85.45,258.0,528.15,104.0,238.8,2.21,326.0,91430.0
20150102:0700,6.99,58.65,439.0,730.97,120.0,236.65,2.69,326.0,91490.0
20150102:0800,9.4,47.05,555.0,754.65,149.0,244.2,2.69,330.0,91510.0
20150102:0900,11.05,40.65,528.0,449.59,263.0,251.2,2.55,338.0,91440.0
20150102:1000,12.21,35.15,502.0,378.07,280.0,257.0,2.14,346.0,91360.0
20150102:1100,12.98,32.65,434.0,329.28,259.0,266.5,1.72,353.0,91310.0
20150102:1200,13.36,31.4,329.0,288.73,206.0,277.9,1.52,1.0,91310.0
20150102:1300,13.35,31.4,197.0,248.17,128.0,286.6,1.31,12.0,91300.0
20150102:1400,13.13,32.65,48.0,112.69,37.0,282.95,1.45,26.0,91320.0
20150102:1500,12.44,35.15,0.0,-0.0,0.0,274.05,1.59,40.0,91350.0
20150102:1600,11.6,39.25,0.0,-0.0,0.0,277.3,1.93,57.0,91390.0
20150102:1700,10.56,45.55,0.0,-0.0,0.0,267.65,2.21,71.0,91420.0
20150102:1800,9.43,52.85,0.0,-0.0,0.0,268.6,2.34,80.0,91410.0
20150102:1900,8.16,61.2,0.0,-0.0,0.0,268.2,1.52,71.0,91380.0
