Latitude (decimal degrees): 31.506
Longitude (decimal degrees): 34.461
Elevation (m): 43.0
Irradiance Time Offset (h): 0.1562
month,year
1,2020
2,2021
3,2007
4,2020
5,2020
6,2014
7,2013
8,2013
9,2011
10,2016
11,2011
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20200101:0000,12.21,80.87,0.0,-0.0,0.0,328.01,2.25,153.0,101110.0
20200101:0100,11.75,81.36,0.0,-0.0,0.0,325.1,2.22,152.0,101090.0
20200101:0200,11.28,81.86,0.0,-0.0,0.0,322.18,2.2,153.0,101070.0
20200101:0300,10.81,82.35,0.0,-0.0,0.0,319.26,2.17,153.0,101050.0
20200101:0400,10.34,82.85,0.0,-0.0,0.0,316.34,2.15,153.0,101050.0
20200101:0500,9.87,83.34,27.0,39.3,24.0,313.43,2.12,155.0,101060.0
20200101:0600,9.41,83.83,166.0,198.86,115.0,310.51,2.1,162.0,101070.0
20200101:0700,8.94,84.33,345.0,461.52,158.0,307.59,2.08,175.0,101100.0
20200101:0800,13.68,72.2,399.0,310.32,240.0,326.65,2.34,189.0,101080.0
20200101:0900,15.07,67.45,460.0,341.67,265.0,341.55,2.28,204.0,101010.0
20200101:1000,15.95,65.15,534.0,567.45,207.0,333.05,2.0,223.0,100920.0
20200101:1100,16.45,62.95,453.0,440.78,220.0,327.45,2.07,247.0,100840.0
20200101:1200,16.5,58.7,349.0,385.14,183.0,324.35,2.07,269.0,100820.0
20200101:1300,16.42,60.75,219.0,348.13,118.0,322.2,2.07,287.0,100820.0
20200101:1400,15.94,65.15,43.0,34.62,39.0,331.5,1.59,304.0,100850.0
20200101:1500,15.2,69.9,0.0,-0.0,0.0,340.2,1.17,332.0,100860.0
20200101:1600,14.18,80.45,0.0,-0.0,0.0,334.4,0.83,12.0,100890.0
20200101:1700,13.88,80.4,0.0,-0.0,0.0,334.6,0.83,57.0,100890.0
20200101:1800,13.41,83.25,0.0,-0.0,0.0,331.5,1.03,83.0,100890.0
20200101:1900,13.06,83.25,0.0,-0.0,0.0,334.0,1.24,154.0,100830.0
20200101:2000,12.37,86.2,0.0,-0.0,0.0,328.05,1.59,145.0,100800.0
20200101:2100,12.05,86.2,0.0,-0.0,0.0,330.15,1.72,144.0,100760.0
20200101:2200,11.83,86.15,0.0,-0.0,0.0,326.1,1.66,153.0,100730.0
20200101:2300,11.67,86.15,0.0,-0.0,0.0,332.85,1.66,165.0,100700.0
20200102:0000,11.46,86.15,0.0,-0.0,0.0,325.7,1.79,171.0,100690.0
20200102:0100,11.29,89.3,0.0,-0.0,0.0,323.1,1.93,172.0,100690.0
20200102:0200,10.85,89.25,0.0,-0.0,0.0,302.3,2.0,171.0,100660.0
20200102:0300,10.64,86.05,0.0,-0.0,0.0,308.5,2.0,175.0,100670.0
20200102:0400,10.51,86.05,0.0,-0.0,0.0,310.8,2.0,187.0,100700.0
20200102:0500,10.55,86.05,30.0,52.77,26.0,319.3,2.0,200.0,100730.0
20200102:0600,11.46,83.1,171.0,226.36,113.0,317.4,1.93,207.0,100770.0
20200102:0700,12.82,77.45,370.0,594.59,129.0,326.3,2.83,193.0,100880.0
20200102:0800,14.0,69.75,494.0,670.67,150.0,317.4,3.17,204.0,100880.0
20200102:0900,15.18,65.05,562.0,699.68,162.0,327.65,3.38,220.0,100840.0
20200102:1000,15.98,60.65,562.0,676.9,171.0,311.95,3.45,232.0,100790.0
20200102:1100,16.28,58.6,509.0,663.72,157.0,313.9,3.45,245.0,100750.0
20200102:1200,16.25,56.5,403.0,632.75,129.0,312.35,3.38,255.0,100750.0
20200102:1300,16.12,54.45,249.0,533.62,93.0,317.2,2.9,257.0,100770.0
20200102:1400,15.72,54.35,81.0,364.84,38.0,315.45,2.14,246.0,100800.0
20200102:1500,14.87,62.65,0.0,-0.0,0.0,305.75,1.66,215.0,100850.0
20200102:1600,13.76,67.15,0.0,-0.0,0.0,297.65,1.86,188.0,100910.0
20200102:1700,12.92,72.05,0.0,-0.0,0.0,298.05,2.14,178.0,100940.0
20200102:1800,12.39,71.95,0.0,-0.0,0.0,304.6,2.28,171.0,100970.0
20200102:1900,13.29,55.75,0.0,-0.0,0.0,346.2,3.1,189.0,100980.0
20200102:2000,13.2,55.75,0.0,-0.0,0.0,347.95,2.83,183.0,101000.0
20200102:2100,12.93,59.95,0.0,-0.0,0.0,344.5,2.62,179.0,100970.0
20200102:2200,12.74,57.75,0.0,-0.0,0.0,338.65,2.69,187.0,100940.0
20200102:2300,12.18,59.85,0.0,-0.0,0.0,297.45,3.17,197.0,100950.0
20200103:0000,11.9,59.7,0.0,-0.0,0.0,292.6,3.72,204.0,100960.0
20200103:0100,11.61,59.7,0.0,-0.0,0.0,298.7,3.93,203.0,100960.0
20200103:0200,11.16,61.85,0.0,-0.0,0.0,285.25,4.07,198.0,100960.0
20200103:0300,10.84,64.1,0.0,-0.0,0.0,286.2,4.41,199.0,100960.0
20200103:0400,10.57,64.1,0.0,-0.0,0.0,285.25,4.69,198.0,100990.0
20200103:0500,10.3,69.0,42.0,212.3,26.0,283.7,4.83,198.0,101020.0
20200103:0600,10.81,69.1,221.0,546.65,81.0,285.85,4.69,198.0,101070.0
20200103:0700,12.03,59.85,388.0,675.59,114.0,282.35,5.17,200.0,101190.0
20200103:0800,13.2,57.9,502.0,687.33,149.0,287.0,5.52,210.0,101170.0
20200103:0900,14.14,53.95,572.0,715.82,162.0,290.65,5.52,218.0,101140.0
20200103:1000,14.83,50.25,575.0,702.8,168.0,289.9,5.38,222.0,101030.0
20200103:1100,15.27,45.05,523.0,693.39,154.0,290.85,5.17,225.0,100970.0
20200103:1200,15.46,43.4,406.0,615.89,138.0,300.15,4.9,224.0,100940.0
20200103:1300,15.56,38.85,251.0,515.88,99.0,295.1,4.69,220.0,100930.0
