Latitude (decimal degrees): 31.788
Longitude (decimal degrees): 35.206
Elevation (m): 809.0
Irradiance Time Offset (h): 0.1566
month,year
1,2018
2,2007
3,2005
4,2007
5,2010
6,2020
7,2020
8,2019
9,2005
10,2013
11,2013
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,9.61,66.27,0.0,-0.0,0.0,281.11,3.19,215.0,96240.0
20180101:0100,9.27,66.3,0.0,-0.0,0.0,282.01,3.49,211.0,96200.0
20180101:0200,8.94,66.33,0.0,-0.0,0.0,282.91,3.78,215.0,96200.0
20180101:0300,8.6,66.36,0.0,-0.0,0.0,283.81,4.07,219.0,96230.0
20180101:0400,8.27,66.39,0.0,-0.0,0.0,284.71,4.37,214.0,96240.0
20180101:0500,7.93,66.42,51.0,263.8,29.0,285.61,4.66,212.0,96270.0
20180101:0600,7.6,66.46,221.0,500.61,90.0,286.51,4.95,215.0,96320.0
20180101:0700,7.26,66.49,370.0,558.68,142.0,287.42,5.25,213.0,96370.0
20180101:0800,9.93,71.5,154.0,0.0,154.0,338.3,6.69,221.0,96380.0
20180101:0900,11.07,64.25,439.0,281.55,279.0,329.75,7.03,226.0,96330.0
20180101:1000,11.76,62.0,589.0,800.17,132.0,335.55,6.83,232.0,96280.0
20180101:1100,12.13,57.65,208.0,9.6,203.0,342.55,6.14,242.0,96250.0
20180101:1200,12.43,59.85,112.0,0.0,112.0,348.95,5.66,247.0,96240.0
20180101:1300,12.73,59.95,147.0,82.44,124.0,339.25,5.17,251.0,96250.0
20180101:1400,12.16,66.85,57.0,173.84,39.0,343.3,4.07,248.0,96270.0
20180101:1500,11.54,74.55,0.0,-0.0,0.0,326.5,3.79,256.0,96320.0
20180101:1600,10.96,83.05,0.0,-0.0,0.0,335.0,3.17,260.0,96390.0
20180101:1700,10.82,89.25,0.0,-0.0,0.0,343.5,2.21,241.0,96450.0
20180101:1800,10.84,92.5,0.0,-0.0,0.0,354.95,2.62,230.0,96490.0
20180101:1900,11.07,92.55,0.0,-0.0,0.0,368.3,2.28,219.0,96450.0
20180101:2000,11.09,92.55,0.0,-0.0,0.0,363.85,2.48,221.0,96490.0
20180101:2100,11.15,92.55,0.0,-0.0,0.0,365.4,2.41,220.0,96510.0
20180101:2200,11.16,92.55,0.0,-0.0,0.0,358.2,2.55,228.0,96530.0
20180101:2300,10.98,92.55,0.0,-0.0,0.0,349.3,2.55,228.0,96510.0
20180102:0000,11.22,89.3,0.0,-0.0,0.0,364.4,2.9,231.0,96500.0
20180102:0100,11.07,92.55,0.0,-0.0,0.0,359.9,2.76,230.0,96490.0
20180102:0200,10.93,92.5,0.0,-0.0,0.0,351.05,2.9,231.0,96500.0
20180102:0300,10.71,92.5,0.0,-0.0,0.0,344.65,2.97,227.0,96520.0
20180102:0400,10.42,92.5,0.0,-0.0,0.0,341.0,3.24,220.0,96550.0
20180102:0500,10.24,89.2,5.0,0.0,5.0,343.1,3.38,217.0,96610.0
20180102:0600,10.65,86.05,88.0,3.82,87.0,348.75,3.59,216.0,96650.0
