Latitude (decimal degrees): 31.954
Longitude (decimal degrees): 35.973
Elevation (m): 806.0
Irradiance Time Offset (h): 0.1567
month,year
1,2005
2,2005
3,2005
4,2007
5,2019
6,2012
7,2008
8,2005
9,2015
10,2014
11,2014
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050101:0000,10.89,53.02,0.0,-0.0,0.0,292.73,2.21,131.0,93900.0
20050101:0100,10.87,50.01,0.0,-0.0,0.0,288.83,2.03,130.0,93880.0
20050101:0200,10.86,46.99,0.0,-0.0,0.0,284.93,1.84,135.0,93840.0
20050101:0300,10.85,43.98,0.0,-0.0,0.0,281.04,1.65,132.0,93850.0
20050101:0400,10.84,40.97,0.0,-0.0,0.0,277.14,1.47,132.0,93850.0
20050101:0500,10.82,37.96,1.0,0.0,1.0,273.24,1.28,133.0,93860.0
20050101:0600,10.81,34.94,161.0,275.87,87.0,269.34,1.1,137.0,93850.0
20050101:0700,10.8,31.93,283.0,269.1,172.0,265.44,0.91,134.0,93930.0
20050101:0800,16.88,27.7,321.0,139.94,249.0,283.7,1.03,146.0,93930.0
20050101:0900,18.4,23.15,375.0,153.34,288.0,292.8,1.03,164.0,93870.0
20050101:1000,19.22,25.15,509.0,454.64,251.0,305.95,1.17,193.0,93800.0
20050101:1100,19.71,27.3,514.0,623.53,193.0,308.5,1.45,219.0,93740.0
20050101:1200,19.78,28.5,462.0,854.8,109.0,301.3,1.59,237.0,93720.0
20050101:1300,19.38,31.8,211.0,211.99,154.0,304.05,1.24,243.0,93710.0
20050101:1400,18.41,38.1,64.0,0.0,64.0,300.15,0.83,238.0,93710.0
20050101:1500,16.46,54.45,0.0,-0.0,0.0,294.95,0.9,230.0,93720.0
20050101:1600,15.77,48.65,0.0,-0.0,0.0,294.55,0.9,221.0,93740.0
20050101:1700,14.98,50.25,0.0,-0.0,0.0,294.15,1.03,224.0,93740.0
20050101:1800,14.29,52.0,0.0,-0.0,0.0,297.25,0.97,221.0,93700.0
20050101:1900,14.02,53.85,0.0,-0.0,0.0,294.95,0.9,208.0,93650.0
20050101:2000,13.55,53.7,0.0,-0.0,0.0,298.2,1.03,217.0,93620.0
20050101:2100,13.07,53.6,0.0,-0.0,0.0,296.65,1.1,226.0,93580.0
20050101:2200,12.38,51.65,0.0,-0.0,0.0,290.3,1.24,232.0,93530.0
20050101:2300,11.89,53.5,0.0,-0.0,0.0,298.6,1.31,230.0,93480.0
20050102:0000,11.21,55.4,0.0,-0.0,0.0,296.65,1.52,228.0,93440.0
20050102:0100,9.48,63.9,0.0,-0.0,0.0,292.15,1.86,225.0,93380.0
20050102:0200,8.67,68.8,0.0,-0.0,0.0,296.85,2.14,229.0,93340.0
20050102:0300,8.36,71.35,0.0,-0.0,0.0,297.25,2.34,240.0,93290.0
20050102:0400,8.33,74.05,0.0,-0.0,0.0,302.5,2.34,252.0,93290.0
20050102:0500,8.42,76.85,7.0,10.97,6.0,305.2,2.34,257.0,93300.0
20050102:0600,9.41,77.0,65.0,3.73,64.0,308.3,2.34,257.0,93280.0
20050102:0700,12.44,64.55,160.0,19.39,152.0,307.1,3.03,254.0,93310.0
20050102:0800,13.95,60.2,398.0,349.44,218.0,303.65,4.21,256.0,93290.0
20050102:0900,14.47,58.1,223.0,8.8,218.0,305.2,4.97,253.0,93230.0
20050102:1000,14.73,60.4,71.0,0.0,71.0,298.2,5.52,250.0,93140.0
20050102:1100,15.15,62.65,49.0,0.0,49.0,323.75,7.59,249.0,93060.0
20050102:1200,13.79,72.2,40.0,0.0,40.0,313.5,7.66,252.0,93040.0
20050102:1300,12.32,83.25,242.0,372.54,141.0,347.4,6.55,256.0,93070.0
20050102:1400,11.18,89.3,64.0,0.0,64.0,331.1,5.86,262.0,93150.0
20050102:1500,9.76,92.5,0.0,-0.0,0.0,324.95,5.66,269.0,93200.0
20050102:1600,9.21,92.45,0.0,-0.0,0.0,325.7,4.97,268.0,93250.0
20050102:1700,8.7,92.45,0.0,-0.0,0.0,323.75,4.76,267.0,93310.0
20050102:1800,8.49,95.85,0.0,-0.0,0.0,334.6,4.34,261.0,93320.0
20050102:1900,8.66,92.45,0.0,-0.0,0.0,338.65,5.52,251.0,93220.0
20050102:2000,8.61,95.85,0.0,-0.0,0.0,335.95,6.41,253.0,93220.0
20050102:2100,8.22,95.85,0.0,-0.0,0.0,328.05,5.79,262.0,93260.0
20050102:2200,8.06,99.4,0.0,-0.0,0.0,325.7,5.03,262.0,93270.0
20050102:2300,8.06,99.4,0.0,-0.0,0.0,332.1,5.1,263.0,93240.0
20050103:0000,8.01,95.8,0.0,-0.0,0.0,336.15,5.38,261.0,93240.0
20050103:0100,7.66,95.8,0.0,-0.0,0.0,314.8,4.48,255.0,93220.0
20050103:0200,7.42,95.8,0.0,-0.0,0.0,315.85,4.83,256.0,93250.0
20050103:0300,7.26,95.8,0.0,-0.0,0.0,333.05,4.0,254.0,93270.0
20050103:0400,7.54,99.4,0.0,-0.0,0.0,342.75,4.48,250.0,93310.0
20050103:0500,7.66,95.8,1.0,0.0,1.0,343.5,4.34,249.0,93350.0
20050103:0600,7.79,92.4,54.0,0.0,54.0,338.3,4.34,247.0,93410.0
20050103:0700,8.72,95.85,73.0,0.0,73.0,345.65,3.66,258.0,93450.0
20050103:0800,9.26,92.45,153.0,0.0,153.0,349.1,3.59,253.0,93470.0
20050103:0900,9.62,89.15,342.0,105.35,282.0,348.55,3.79,249.0,93460.0
20050103:1000,10.22,86.05,68.0,0.0,68.0,313.9,4.69,238.0,93400.0
20050103:1100,10.42,89.25,49.0,0.0,49.0,325.1,4.9,235.0,93390.0
20050103:1200,10.2,89.25,53.0,0.0,53.0,334.2,4.97,236.0,93390.0
20050103:1300,10.04,92.5,26.0,0.0,26.0,339.05,4.48,241.0,93430.0
20050103:1400,9.14,92.45,16.0,0.0,16.0,333.65,5.03,244.0,93490.0
20050103:1500,8.16,92.4,0.0,-0.0,0.0,305.0,4.0,246.0,93520.0
20050103:1600,7.9,95.8,0.0,-0.0,0.0,311.55,3.79,246.0,93580.0
20050103:1700,8.05,99.4,0.0,-0.0,0.0,346.2,3.24,245.0,93610.0
20050103:1800,7.91,95.8,0.0,-0.0,0.0,329.55,3.31,245.0,93620.0
20050103:1900,8.14,95.85,0.0,-0.0,0.0,342.55,3.1,234.0,93590.0
20050103:2000,7.87,95.8,0.0,-0.0,0.0,325.3,3.52,230.0,93610.0
20050103:2100,7.72,95.8,0.0,-0.0,0.0,318.35,3.45,229.0,93600.0
20050103:2200,7.92,95.8,0.0,-0.0,0.0,331.1,3.66,231.0,93610.0
20050103:2300,7.68,92.4,0.0,-0.0,0.0,314.85,3.45,234.0,93630.0
20050104:0000,7.7,92.4,0.0,-0.0,0.0,317.95,3.59,237.0,93630.0
20050104:0100,7.8,92.4,0.0,-0.0,0.0,332.6,3.45,236.0,93620.0
20050104:0200,7.5,92.35,0.0,-0.0,0.0,308.5,3.31,234.0,93620.0
20050104:0300,7.72,92.4,0.0,-0.0,0.0,337.1,2.9,237.0,93630.0
20050104:0400,7.5,95.8,0.0,-0.0,0.0,314.85,2.48,239.0,93680.0
20050104:0500,7.52,95.8,3.0,0.0,3.0,322.0,2.34,241.0,93720.0
20050104:0600,8.07,92.4,53.0,0.0,53.0,315.85,2.76,241.0,93750.0
20050104:0700,9.02,85.95,81.0,0.0,81.0,307.3,3.24,241.0,93770.0
20050104:0800,9.76,79.95,153.0,0.0,153.0,324.95,3.31,240.0,93790.0
20050104:0900,10.1,79.95,274.0,33.29,255.0,315.85,3.31,238.0,93730.0
20050104:1000,11.06,74.45,332.0,76.92,288.0,313.9,3.59,235.0,93670.0
20050104:1100,11.39,69.25,267.0,36.51,248.0,318.15,3.72,234.0,93580.0
20050104:1200,11.5,66.75,284.0,135.92,227.0,298.05,3.79,231.0,93540.0
20050104:1300,11.29,64.35,264.0,478.57,132.0,297.45,3.45,231.0,93530.0
20050104:1400,10.71,69.15,58.0,0.0,58.0,278.85,2.48,232.0,93530.0
20050104:1500,9.68,74.3,0.0,-0.0,0.0,284.5,2.28,245.0,93550.0
20050104:1600,8.98,79.85,0.0,-0.0,0.0,293.95,2.28,253.0,93600.0
20050104:1700,8.21,82.75,0.0,-0.0,0.0,281.2,2.28,254.0,93620.0
20050104:1800,7.34,85.8,0.0,-0.0,0.0,275.6,2.14,250.0,93620.0
20050104:1900,6.44,88.95,0.0,-0.0,0.0,266.65,1.66,225.0,93620.0
20050104:2000,5.94,88.9,0.0,-0.0,0.0,272.65,1.72,219.0,93590.0
20050104:2100,5.46,88.85,0.0,-0.0,0.0,265.9,1.86,222.0,93580.0
20050104:2200,5.07,88.85,0.0,-0.0,0.0,265.1,2.07,226.0,93530.0
20050104:2300,4.66,88.85,0.0,-0.0,0.0,256.6,2.28,230.0,93510.0
20050105:0000,4.37,88.8,0.0,-0.0,0.0,257.95,2.48,228.0,93480.0
20050105:0100,4.43,88.8,0.0,-0.0,0.0,257.3,2.83,225.0,93420.0
20050105:0200,4.59,92.2,0.0,-0.0,0.0,253.9,3.17,221.0,93350.0
20050105:0300,5.25,88.85,0.0,-0.0,0.0,267.65,3.52,219.0,93320.0
20050105:0400,5.54,88.85,0.0,-0.0,0.0,258.35,3.86,219.0,93280.0
20050105:0500,5.8,85.65,6.0,11.08,5.0,260.3,4.21,222.0,93250.0
20050105:0600,7.22,79.65,107.0,59.67,91.0,271.9,4.21,226.0,93260.0
20050105:0700,9.08,71.4,56.0,0.0,56.0,281.6,5.66,222.0,93260.0
20050105:0800,9.44,68.9,92.0,0.0,92.0,276.95,7.03,225.0,93250.0
20050105:0900,9.31,71.5,153.0,0.0,153.0,295.3,7.72,226.0,93170.0
20050105:1000,8.93,74.15,156.0,0.0,156.0,303.05,7.17,229.0,93090.0
20050105:1100,8.83,76.95,272.0,40.19,251.0,297.25,7.03,231.0,93000.0
20050105:1200,9.35,74.2,258.0,85.37,222.0,326.3,7.17,225.0,92910.0
20050105:1300,8.69,79.85,49.0,0.0,49.0,292.2,8.48,230.0,92910.0
20050105:1400,7.47,92.35,68.0,0.0,68.0,309.65,6.97,239.0,92960.0
20050105:1500,6.62,92.35,0.0,-0.0,0.0,299.75,5.79,254.0,93030.0
