Latitude (decimal degrees): 33.305
Longitude (decimal degrees): 44.394
Elevation (m): 37.0
Irradiance Time Offset (h): -0.1672
month,year
1,2014
2,2007
3,2018
4,2005
5,2019
6,2010
7,2008
8,2013
9,2021
10,2016
11,2019
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,10.17,70.6,0.0,-0.0,0.0,306.81,2.21,263.0,101190.0
20140101:0100,10.06,74.76,0.0,-0.0,0.0,312.37,2.17,258.0,101200.0
20140101:0200,9.94,78.92,0.0,-0.0,0.0,317.93,2.13,257.0,101250.0
20140101:0300,9.83,83.09,0.0,-0.0,0.0,323.49,2.1,258.0,101280.0
20140101:0400,9.72,87.25,0.0,-0.0,0.0,329.06,2.06,255.0,101340.0
20140101:0500,9.6,91.42,22.0,0.0,22.0,334.62,2.02,252.0,101410.0
20140101:0600,9.49,95.58,95.0,0.0,95.0,340.18,1.99,258.0,101470.0
20140101:0700,9.37,99.74,288.0,151.17,224.0,345.74,1.95,299.0,101410.0
20140101:0800,12.48,77.35,306.0,89.69,260.0,351.85,1.59,315.0,101420.0
20140101:0900,12.85,74.7,121.0,0.0,121.0,359.2,1.31,334.0,101370.0
20140101:1000,13.58,69.65,74.0,0.0,74.0,345.85,1.17,353.0,101340.0
20140101:1100,14.07,64.85,67.0,0.0,67.0,341.95,1.1,4.0,101310.0
20140101:1200,14.19,62.55,58.0,0.0,58.0,347.2,1.03,350.0,101340.0
20140101:1300,13.87,67.15,10.0,0.0,10.0,328.05,1.17,355.0,101400.0
20140101:1400,13.18,74.75,0.0,0.0,0.0,328.8,1.1,2.0,101490.0
20140101:1500,12.06,80.2,0.0,-0.0,0.0,312.35,1.45,6.0,101560.0
20140101:1600,11.26,89.3,0.0,-0.0,0.0,315.45,1.52,8.0,101660.0
20140101:1700,10.62,89.25,0.0,-0.0,0.0,313.9,1.52,6.0,101730.0
