Latitude (decimal degrees): 33.537
Longitude (decimal degrees): 36.339
Elevation (m): 708.0
Irradiance Time Offset (h): 0.1591
month,year
1,2018
2,2005
3,2010
4,2019
5,2010
6,2019
7,2008
8,2012
9,2005
10,2022
11,2016
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,7.1,81.31,0.0,-0.0,0.0,302.18,2.47,222.0,93050.0
20180101:0100,6.85,82.71,0.0,-0.0,0.0,303.61,2.54,229.0,93020.0
20180101:0200,6.59,84.11,0.0,-0.0,0.0,305.04,2.62,232.0,93010.0
20180101:0300,6.34,85.5,0.0,-0.0,0.0,306.46,2.69,231.0,93020.0
20180101:0400,6.08,86.9,0.0,-0.0,0.0,307.89,2.76,229.0,93040.0
20180101:0500,5.82,88.3,42.0,145.91,30.0,309.32,2.83,222.0,93070.0
20180101:0600,5.57,89.7,36.0,0.0,36.0,310.75,2.9,217.0,93060.0
20180101:0700,5.31,91.09,101.0,0.0,101.0,312.17,2.97,226.0,93080.0
20180101:0800,8.15,74.05,105.0,0.0,105.0,307.3,5.52,227.0,93060.0
20180101:0900,8.84,71.35,107.0,0.0,107.0,305.0,5.79,231.0,93030.0
20180101:1000,9.63,63.9,350.0,134.18,277.0,309.85,5.86,238.0,92960.0
20180101:1100,10.02,61.65,363.0,246.46,242.0,323.75,6.0,242.0,92920.0
20180101:1200,10.21,64.0,317.0,384.93,167.0,324.55,6.0,243.0,92910.0
20180101:1300,10.17,66.45,163.0,214.45,110.0,317.4,5.52,242.0,92890.0
20180101:1400,9.86,68.9,39.0,205.34,24.0,305.75,4.83,240.0,92920.0
20180101:1500,8.89,76.85,0.0,-0.0,0.0,291.05,4.07,240.0,92950.0
20180101:1600,8.33,76.85,0.0,-0.0,0.0,303.85,3.66,247.0,93020.0
20180101:1700,7.9,76.8,0.0,-0.0,0.0,307.5,3.31,257.0,93060.0
20180101:1800,7.24,79.65,0.0,-0.0,0.0,303.85,2.9,261.0,93110.0
20180101:1900,8.23,82.75,0.0,-0.0,0.0,315.85,3.52,244.0,93060.0
20180101:2000,8.19,82.75,0.0,-0.0,0.0,322.2,3.45,243.0,93110.0
20180101:2100,8.2,82.75,0.0,-0.0,0.0,324.95,3.45,241.0,93130.0
20180101:2200,8.32,82.75,0.0,-0.0,0.0,333.45,3.24,234.0,93130.0
20180101:2300,8.48,85.9,0.0,-0.0,0.0,335.2,3.31,229.0,93100.0
20180102:0000,8.52,89.1,0.0,-0.0,0.0,329.55,3.45,232.0,93080.0
20180102:0100,8.78,89.1,0.0,-0.0,0.0,332.6,3.79,239.0,93070.0
20180102:0200,9.19,85.95,0.0,-0.0,0.0,339.85,4.07,244.0,93050.0
20180102:0300,9.33,82.85,0.0,-0.0,0.0,333.65,4.14,245.0,93070.0
20180102:0400,9.32,79.85,0.0,-0.0,0.0,333.05,4.0,244.0,93100.0
