Latitude (decimal degrees): 36.197
Longitude (decimal degrees): 37.176
Elevation (m): 395.0
Irradiance Time Offset (h): 0.1628
month,year
1,2006
2,2007
3,2021
4,2006
5,2013
6,2013
7,2012
8,2009
9,2005
10,2007
11,2015
12,2006
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,1.92,72.92,0.0,-0.0,0.0,240.49,2.28,41.0,97800.0
20060101:0100,1.91,73.51,0.0,-0.0,0.0,242.94,2.47,42.0,97770.0
20060101:0200,1.9,74.1,0.0,-0.0,0.0,245.39,2.66,43.0,97720.0
20060101:0300,1.9,74.69,0.0,-0.0,0.0,247.83,2.85,43.0,97750.0
20060101:0400,1.89,75.28,0.0,-0.0,0.0,250.28,3.04,43.0,97740.0
20060101:0500,1.88,75.87,36.0,175.18,24.0,252.73,3.22,42.0,97750.0
20060101:0600,1.88,76.47,136.0,128.07,106.0,255.18,3.41,45.0,97790.0
20060101:0700,1.87,77.06,298.0,377.41,159.0,257.62,3.6,54.0,97880.0
20060101:0800,7.52,50.45,363.0,316.34,217.0,267.45,4.21,62.0,97850.0
20060101:0900,9.08,47.05,504.0,703.36,147.0,275.0,4.48,66.0,97790.0
20060101:1000,10.24,47.2,439.0,453.03,211.0,262.2,4.34,69.0,97680.0
20060101:1100,11.07,43.95,317.0,213.82,221.0,262.4,4.41,70.0,97610.0
20060101:1200,11.33,43.95,193.0,86.12,163.0,267.45,4.48,70.0,97560.0
20060101:1300,11.09,45.7,143.0,264.14,88.0,274.6,4.14,71.0,97570.0
20060101:1400,9.97,54.9,10.0,0.0,10.0,288.95,3.45,66.0,97580.0
20060101:1500,8.19,59.0,0.0,-0.0,0.0,271.3,3.31,54.0,97600.0
20060101:1600,7.2,63.5,0.0,-0.0,0.0,274.8,3.52,44.0,97600.0
20060101:1700,6.63,63.35,0.0,-0.0,0.0,281.6,3.72,41.0,97610.0
20060101:1800,6.56,63.35,0.0,-0.0,0.0,299.95,3.86,46.0,97590.0
20060101:1900,6.79,65.85,0.0,-0.0,0.0,303.05,4.21,49.0,97600.0
20060101:2000,6.61,65.85,0.0,-0.0,0.0,300.95,4.28,52.0,97600.0
20060101:2100,6.33,68.3,0.0,-0.0,0.0,295.7,4.07,54.0,97570.0
20060101:2200,6.27,68.3,0.0,-0.0,0.0,306.75,3.86,55.0,97570.0
20060101:2300,5.99,68.3,0.0,-0.0,0.0,303.25,3.79,54.0,97560.0
20060102:0000,5.82,70.85,0.0,-0.0,0.0,306.95,3.72,53.0,97580.0
20060102:0100,5.7,70.85,0.0,-0.0,0.0,310.15,3.79,51.0,97550.0
20060102:0200,5.54,68.2,0.0,-0.0,0.0,315.65,4.07,48.0,97540.0
20060102:0300,5.26,73.55,0.0,-0.0,0.0,309.85,4.21,45.0,97550.0
20060102:0400,5.14,70.8,0.0,-0.0,0.0,306.95,4.34,52.0,97580.0
20060102:0500,5.16,70.8,34.0,146.67,24.0,311.95,4.48,55.0,97600.0
20060102:0600,5.58,68.2,93.0,21.35,88.0,313.1,4.55,57.0,97630.0
20060102:0700,7.64,56.7,340.0,604.93,117.0,308.65,4.9,60.0,97660.0
20060102:0800,8.77,52.7,392.0,421.85,197.0,304.05,5.93,67.0,97650.0
20060102:0900,9.96,52.85,501.0,695.91,147.0,277.7,5.93,70.0,97620.0
20060102:1000,10.91,49.2,483.0,633.94,163.0,270.55,5.72,71.0,97560.0
20060102:1100,11.45,45.7,414.0,567.88,158.0,270.15,5.66,71.0,97520.0
20060102:1200,11.65,42.4,304.0,502.26,128.0,270.35,5.66,70.0,97510.0
20060102:1300,11.32,42.3,161.0,394.33,78.0,268.8,5.45,68.0,97540.0
20060102:1400,10.14,49.05,11.0,24.67,10.0,265.1,4.55,66.0,97590.0
20060102:1500,8.48,54.65,0.0,-0.0,0.0,261.05,4.48,64.0,97620.0
20060102:1600,7.37,58.8,0.0,-0.0,0.0,258.75,4.48,64.0,97680.0
20060102:1700,6.4,63.25,0.0,-0.0,0.0,252.95,4.34,64.0,97720.0
20060102:1800,5.73,65.65,0.0,-0.0,0.0,254.85,4.07,64.0,97750.0
20060102:1900,5.52,65.65,0.0,-0.0,0.0,251.2,3.72,57.0,97790.0
20060102:2000,4.99,68.1,0.0,-0.0,0.0,246.55,3.59,55.0,97780.0
20060102:2100,4.55,70.7,0.0,-0.0,0.0,245.0,3.38,53.0,97780.0
20060102:2200,4.2,73.4,0.0,-0.0,0.0,247.3,3.24,54.0,97740.0
20060102:2300,3.85,76.15,0.0,-0.0,0.0,246.15,3.17,54.0,97740.0
20060103:0000,3.46,76.15,0.0,-0.0,0.0,243.65,3.1,54.0,97720.0
20060103:0100,3.05,79.1,0.0,-0.0,0.0,242.4,2.9,52.0,97710.0
20060103:0200,2.68,79.0,0.0,-0.0,0.0,241.5,2.9,50.0,97690.0
20060103:0300,2.41,82.05,0.0,-0.0,0.0,240.75,2.97,50.0,97700.0
20060103:0400,2.23,82.05,0.0,-0.0,0.0,240.75,2.97,50.0,97740.0
20060103:0500,2.09,78.95,25.0,44.15,22.0,240.15,2.97,50.0,97750.0
20060103:0600,3.64,76.15,186.0,405.44,91.0,241.9,2.62,53.0,97800.0
20060103:0700,6.54,61.0,309.0,419.96,154.0,247.3,3.79,64.0,97900.0
20060103:0800,8.49,56.8,432.0,570.08,168.0,251.6,4.34,73.0,97880.0
20060103:0900,9.97,52.85,484.0,594.21,181.0,257.4,4.48,78.0,97860.0
20060103:1000,11.11,47.45,491.0,639.83,167.0,261.25,4.62,80.0,97780.0
20060103:1100,11.77,44.1,435.0,640.56,145.0,265.9,4.83,82.0,97710.0
20060103:1200,11.98,44.1,291.0,408.4,147.0,267.65,4.97,83.0,97700.0
20060103:1300,11.65,44.1,136.0,202.04,93.0,269.6,4.76,84.0,97720.0
20060103:1400,10.44,52.95,15.0,69.87,12.0,268.05,3.86,82.0,97720.0
20060103:1500,8.8,59.15,0.0,-0.0,0.0,264.55,3.72,78.0,97750.0
20060103:1600,7.82,63.6,0.0,-0.0,0.0,263.75,3.52,74.0,97760.0
20060103:1700,7.05,65.95,0.0,-0.0,0.0,259.7,3.38,70.0,97780.0
20060103:1800,6.53,68.4,0.0,-0.0,0.0,260.3,3.24,66.0,97790.0
20060103:1900,6.22,70.95,0.0,-0.0,0.0,259.7,3.17,62.0,97860.0
